calibration_band,rows,median_residual,mean_residual,median_prediction,median_actual,calibration_adjustment
£0–5m,104,-1078762.241600061,-1512078.7845199965,3206292.9280479,2000000.0,-539381.1208000305
£5–15m,131,-809113.4947840814,-1199765.8188076846,10641361.064342717,10000000.0,-404556.7473920407
£15–30m,128,435814.3384572305,-145923.66215771367,23010533.41340318,22000000.0,217907.16922861524
£30–60m,82,3536804.124918487,3808885.9803654705,38032191.5811006,40000000.0,1768402.0624592435
£60–100m,17,5000000.0,5485759.34454541,75000000.0,75000000.0,2500000.0
£100m+,6,18000000.0,18825812.615441356,111000000.0,120000000.0,9000000.0
